id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat|lat|lon|uuid
125|Lope de Vega|La Gatomaquia|9 de julio de 2009|Héctor Manuel Vidal|La Cuarta Producciones|"Festival de Teatro Clásico de Almagro
"|Patio de Fúcares de Almagro (Ciudad Real)||38.8899191|-3.709986|e90d396f-9fe1-422c-977c-e3ad0b9b77df
126|Lope de Vega|La estrella de Sevilla|4 de febrero de 2009|Eduardo Vasco|Compañía Nacional de Teatro Clásico (CNTC)||Teatro Calderón de Valladolid||41.6539837|-4.7246809|36cee677-83ac-400b-8a71-a4819758416b
127|Lope de Vega|Fuenteovejuna|24 de julio de 2009|Liuba Cid|Mefisto Teatro|"Festival de Teatro Clásico de Almagro
"|Antigua Universidad Renacentista de Almagro (Ciudad Real)||38.8915937|-3.7148261|3ef1415a-adf9-4233-8f5a-b270e367ace7
128|Lope de Vega|Fuenteovejuna||Laurence Boswell|Rakatá||||||9ef166df-5856-4e2e-a5ab-ad5adbfeb2cf
129|Lope de Vega|Fuenteovejuna|17 de julio de 2009|Kei Jinguji|Ksec Act|"Festival de Teatro Clásico de Almagro
"|Teatro Municipal de Almagro (Ciudad Real)||38.89053|-3.7119068|14b9bdf9-5703-49c4-9787-d1e703c3c2ac
130|Lope de Vega|El perro del Hortelano|14 de abril de 2009|Gustavo Funes|El Ojo del Bululú||||||a7561395-3c94-48b1-9d2e-609f42433365
131|Lope de Vega|El perro del Hortelano|10 de julio de 2009|Juan Carlos Maestre|Radio Nacional de España|"Festival de Teatro Clásico de Almagro
"|Corral de Comedias de Almagro (Ciudad Real)||38.8884394|-3.7119119|752625c6-ad73-44da-a0c4-cb370ee91ddb
132|Lope de Vega|El desdichado por la honra. Cuento trágico|3 de julio de 2009|Rafael Ruiz Álvarez|Aula de Teatro de la Universidad de Granada||||||6b0ca68a-02ba-4304-bec2-a10304552e3b
133|Pedro Calderón de la Barca| A secreto agravio, secreta venganza| 15 de junio de 2013| Lino Ferreira| El Óbolo Producciones| Festival Clásicos en Alcalá| Corral de Comedias de Alcalá de Henares (Madrid)||40.4451582|-3.5339127|92508b86-9958-4da1-a7bb-866b95870e8c
134|Pedro Calderón de la Barca| Otro gran teatro del mundo| 21 de diciembre de 2012| Olga Margallo| Uroc Teatro|| Teatro Pavón, Madrid||40.410031|-3.7061552|ebea8cbe-bd51-4109-82c3-3bde328a8172
135|Pedro Calderón de la Barca| Lorca, Calderón y los estudiantes de Babel| 5 de julio de 2012| Toni Tordera| Escena Erasmus| Festival de Teatro Clásico de Almagro|Plaza de Santo Domingo de Almagro (Ciudad Real)||38.8872723|-3.7128512|47a6a7f4-6ea2-470e-9566-d81ecea4b325
136|Pedro Calderón de la Barca| La vida es sueño: el bululú|| El Colectivo| El Aedo Teatro||||||623f2fcf-7165-4a92-875d-2b914c4c0e0f
137|Pedro Calderón de la Barca| La vida es sueño| 5 de julio de 2012| Helena Pimenta|CNTC| Festival de Teatro Clásico de Almagro| Hospital de San Juan de Almagro (Ciudad Real)||38.8888239|-3.7111408|119e23a2-defa-4518-9575-8f98159b9ffe
138|Pedro Calderón de la Barca| La gran Zenobia| 18 de febrero de 2012| Gustavo Galindo| Teatro Galo Real| Festival La Alternativa|||||571a6e73-0ed4-4230-a73a-2ba8a409f7c2
139|Pedro Calderón de la Barca| En la vida todo es verdad y todo mentira| 12 de enero de 2012| Ernesto Caballero|Compañía Nacional de Teatro Clásico (CNTC)|| Teatro Pavón, Madrid||40.410031|-3.7061552|12a0a26b-5987-4bd5-b9ff-212a1a55da88
140|Pedro Calderón de la Barca|Mañanas de abril y mayo|13 de abril|Laila Ripoll||Festival de teatro clásico Castilla de Peñíscola|Teatro Fernán-Gómez de Madrid||40.4249446|-3.6898673|92ac7e88-1af1-47a0-a688-955733a0147d
141|Pedro Calderón de la Barca|La vida es sueño en sus versos esenciales|27 de julio||Olmedo Clásico. Festival de Teatro Clásico de Olmedo|Festival de Teatro Clásico de Olmedo|Centro de Artes Escénicas San Pedro de Olmedo, Valladolid||41.288271|-4.685676|989af752-3582-412a-b8b8-c36ab4a2c520
142|Pedro Calderón de la Barca|La vida es sueño. Versión musical|1 de julio|Dirección: Macarena Baeza de la Fuente. Ayudante de dirección: Camila Gatica|Teatro la Calderona||Casa Palacio de los Villarreal de Almagro, Ciudad Real||38.8885331|-3.7148567|6b14d6e3-5920-4f9c-ae61-842d56ebfd23
143|Pedro Calderón de la Barca|La vida es sueño|2 de julio|Dirección: Mariano de Paco. Ayudante de dirección: Daniel Alonso y Francisco Rivera.|Teatro Círculo|"
Festival Iberoamericano del Siglo de Oro: Clásicos en Alcalá"|Monasterio Cisterciense de San Bernardo de Alcalá de Henares, Madrid||40.4830703|-3.3698094|4834a664-826f-458a-9d0b-e1ef47d3f855
144|Pedro Calderón de la Barca|La vida es sueño|14 de octubre|Dirección: Declan Donnellan. Ayudante de dirección: Josete Corral.|Cheek by Jowl; Compañía Nacional de Teatro Clásico,CNTC; Lazona||Teatro Lope de Vega de Sevilla||37.3784059|-5.990964|84e6511c-a303-41d7-8996-aa5576dbc7e2
145|Pedro Calderón de la Barca|La gran Cenobia|13 de enero|DIreccón: David Boceta|Compañía Nacional de Teatro Clásico,CNTC||Sala Tirso de Molina del Teatro de la Comedia de Madrid||40.4155336|-3.7003923|f519149b-7c37-4bcb-97cf-14a682c25d86
146|Pedro Calderón de la Barca|No hay burlas con el amor|11 de junio|Dirección escénica: Josete Corral. Ayudantía de dirección: Víctor Sainz.|Vida Cantina|Festival Clásicos en Alcalá|Centro Cultural Gilitos de Alcalá de Henares, dentro de la programación del Festival Iberoamericano del Siglo de Oro, Clásicos en Alcalá||40.4921751|-3.3666232|fab8d586-710e-48fc-b2d4-cf66743e52ad
147|Pedro Calderón de la Barca|Calderón, ¿enamorado?|17 de marzo|Amaya Curieses y José Maya|Zampanó Teatro|Jornadas de siglo de oro de Almería|||||6bcaf1bc-1acf-437a-90b8-cafa0327214d
148|Tirso de Molina |El burlador de Sevilla y el convidado de piedra |19 de febrero de 2000|Isaac Benabeu |Associació d´Investigació i Experimentació Teatral ||Sala La Cuina de Barcelona ||41.3806393|2.1349951|7b5abe0f-c65b-4b06-ad81-e1ef1296ff11
149|Tirso de Molina |El condenado por desconfiado |1 de noviembre de 2001|José Maya|Zampanó Teatro|Festival de Otoño|Teatro Pavón de Madrid||40.410031|-3.7061552|10d1d5d5-a5a3-4480-9fb6-0380fac22a7e
150|Tirso de Molina |El condenado por desconfiado |31 de enero de 2001|Eva del Palacio|Teatro Morboria||Teartro Pradillo de Madrid||40.4485746|-3.6746284|67170bda-8e73-4493-aca8-5120322410fe
151|Tirso de Molina |Marta la piadosa||José Antonio Aliaga|Aula de Teatro Andrés de Claramonte||||||e2ab9efe-65cc-4359-a158-519256611ad7
152|Tirso de Molina |Don Gil de las calzas verdes|11 de julio de 2002|Fernando Urdiales|Galileo Teatro||Teatro Liceo de Salamanca||40.9662889|-5.6624954|e4e9d375-d2e7-41a8-938f-93bca9c8071c
153|Tirso de Molina |El burlador de Sevilla |28 de febrero de 2003|Miguel Narros|Compañía Nacional de Teatro Clásico (CNTC)||Teatro Pavón de Madrid||40.410031|-3.7061552|68152994-da4e-4185-b512-152fbed5a428
154|Tirso de Molina |El burlador de Sevilla|12 de julio de 2003|Ricardo Camacho|Teatro Libre|Festival de Teatro Medieval y Clásico Ciudad de Chinchilla|Auditorio Municipal de Chinchilla (Albacete)||38.9205243|-1.7243256|5ec659c5-6f86-4588-83a5-38f05b83aa77
155|Tirso de Molina |El vergonzo en palacio||Asunción Mieres|Aula de Teatro de la UEX||||||adbf1334-1607-45de-baad-4718dbbe3efa
156|Tirso de Molina |La celosa de sí misma|21 de noviembre de 2003|Luis Olmos|Compañía Nacional de Teatro Clásico (CNTC)||Teatro Pavón de Madrid||40.410031|-3.7061552|4569ad8a-94de-4cc1-b1f2-66106df102a7
157|Tirso de Molina |La dama del olivar||Juan Antonio Barceló|Caleido||||||49f51b1d-a3c5-4a01-9781-b6c4f07604cd
158|Tirso de Molina |Sueño del duque de Belaqua|21 de octubre de 2003|Virginia Nölting y Javier Parra|Anthares Teatro||Teatro Cánovas de Málaga||36.7281001|-4.4186937|a7add5dc-4bd5-4537-be8c-104674b117a4
159|Tirso de Molina |El condenado por desconfiado |2 de diciembre de 2004|Alejandro González Puche|Corporación Teatro del Valle||Teatro de la Universidad de Murcia||37.9992893|-1.1649039|ed3f1899-d873-48d5-99f0-9cd3d30cb163
160|Tirso de Molina |Gil el verde|18 de noviembre de 2004|Pepe Ola|Ciénaga Teatro||Sala Central Lechera de Cádiz||36.5362562|-6.2942236|c40ae4a8-76ae-4a55-a151-a535da1cab96
161|Tirso de Molina |La venganza de Tamar|28  de abril de 2004 en Swan. 28 de octubre de 2004|Simon Usher|Royal Shakespeare Company|Festival de Otoño|En Swan: Theatre de Stratford-upon-Avon. En España en Teatro Español de Madrid||46.2651809|-2.7532047|40fa6d48-fb86-47d1-b576-f7fbe8b2aae1
162|Tirso de Molina |Desde Toledo a Madrid||Carlos Aladro|Rakatá||||||8e2193cf-caaa-4b61-9119-ded44d5cbc1b
163|Tirso de Molina |Don Gil de las calzas verdes|29 de junio de 2006|Eduardo Vasco|Compañía Nacional de Teatro Clásico (CNTC)|Festival Internaiconal de Teatro Clásico|Hospital de San Juan, Almagro (Ciudad Real)||38.8888622|-3.7093043|ee4b42e5-f556-4e13-b0fc-0d847a53e30f
