id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat|lat|lon|uuid|tipo
648|Calderón de la Barca|La hija del aire|15/04/2017|Ignacio García|Compañía Nacional de Teatro de México|Festival de Teatro Clásico de Olmedo, 20 de julio de 2017|Teatro Jiménez Rueda de Ciudad de México||19.435202|-99.1557295|f9374dae-f989-41fc-9fbb-d61f952732da|Internacional
649|Calderón de la Barca|La vida es sueño|2012|José Alonso Mejía Román|Tropa Teatro|Festival Internacional de Teatro Clásico de Almagro, 26-28 de julio de 2019|Medellín||6.2442872|-75.6224111|0ad737ac-57ef-4995-b3ff-d1643a708de3|Internacional
650|Calderón de la Barca|La vida es sueño (infantil)|27/05/2023|Fito Valles|Teatro La Plaza|Festival Internacional de Teatro de Medellín; Festival Internacional de Teatro Clásico de Almagro, 6 de julio de 2023|Teatro La Plaza de Larcomar de Miraflores (Lima)||-12.1318663|-77.0332021|edabdb44-0e30-4559-b918-f2e1d2d7635a|Internacional
651|Calderón de la Barca|La vida es sueño|21/01/2000|Lica Ronconi|Piccolo Teatro di Milano, Teatro d'Europa||Teatro Streheler (Milán)||45.4723892|9.1797306|0eb06dc4-4332-496b-8020-2e2ed82c60e2|Internacional
652|Calderón de la Barca|El príncipe constante|2001|Cesare Lievi|Piccolo Teatro di MIlano, Teatro Biondo Satbile di Palermo, Teatro Stabile di Brescia||||||d82d02d3-6508-4ff6-ba0c-ac3473e57abc|Internacional
653|Calderón de la Barca|La vida es sueño|2003|Maria Federica Maestri, Francesco Pititto|Lenz Rifrazioni|Festival Internacional de Teatro Clásico de Almagro, 13-14 de julio de 2004|Teatro Lenz (Parma)||44.8121165|10.3300829|19c02a36-e6a3-4884-b4b0-f0ffd2bba32a|Internacional
654|Calderón de la Barca|El mágico prodigioso|2004|Maria Federica Maestri, Francesco Pititto|Lenz Rifrazioni||Teatro Lenz (Parma)||||c3256ded-de3f-49ea-bb24-6cd6fcccd07e|Internacional
655|Calderón de la Barca|El príncipe constante|2006|Maria Federica Maestri, Francesco Pititto|Lenz Rifrazioni||Teatro Lenz (Parma)||44.8121165|10.3300829|3408a4d4-b844-4271-8c13-24af1529a622|Internacional
656|Calderón de la Barca|La vida es sueño|2002|Kei Jinguji|Ksec Act|Festival Internacional de Teatro Clásico de Almagro, 5-6 de julio de 2002|||||6327e60b-8d0e-4c9a-800c-af83e8851935|Internacional
657|Calderón de la Barca|El príncipe constante|19/01/2001|Pawel Wodzinski|Teatr Polski w Poznaniu||(Poznan)||52.4007215|16.7368426|00c1c23e-1e33-4daa-bd89-d2f06d925ce5|Internacional
658|Calderón de la Barca|El alcalde de Zalamea|20/04/2002|Grzegorz Wisniewski|Teatr Polski w Poznaniu||(Wroclaw)||51.1264432|16.9093793|07bebd21-6780-4ff3-9f02-10fe3c9dc9b1|Internacional
659|Calderón de la Barca|La vida es sueño|11/03/2004|Julia Wernio|Teatr Miejski||(Gdynia)||54.5235424|18.4692122|eaa98012-e5d6-4297-9699-8ec18e27d372|Internacional
660|Calderón de la Barca|La dama duende|2017|Lembit Peterson|Compañíía Ugala Teater|Festival Internacional de Teatro Clásico de Almagro, 10-11 de julio de 2019|Teatro Ugala (Viljandi)||58.362059|25.5878013|39176c0b-4ba1-44a1-81fe-8422cef4dc1c|Internacional
661|Atribuido a Tirso de Molina|El burlador de Sevilla|17/02/2000|Hugo Medrano|GALA Hispanic Theatre||Sede de GALA (Washington)||38.9308104|-77.0349112|11ddb863-8bfc-459f-be10-08e1c72a981e|Internacional
662|Atribuido a Tirso de Molina|El burlador de Sevilla|2006|Anne McNaughton|Andak Stage Company|Festival Siglo de Oro en el Teatro Chamizal de El Paso, 4 de marzo de 2006.|NewPlace Theatre Center (North Hollywood)||34.1691135|-118.375657|7fb1113f-02c0-4e7c-a4ad-6cdd66306b10|Internacional
663|Atribuido a Tirso de Molina|El burlador de Sevilla|7/03/2005|Omar Porras|Teatro Malandro||Théâtre de Carouge (Ginebra)||46.1813214|6.139456|f5894870-fd5c-4df2-a8c5-dbd691a8f460|Internacional
664|Tirso de Molina|El vergonzoso en palacio|12/01/2005|Gwenhaël de Gouvello|Compagnie du Matin||Théâtre 13 / Jardin (París)||48.8282235|2.3506654|6687efe2-7691-43d9-9963-b1d7d697257b|Internacional
665|Tirso de Molina|La venganza de Tamar|31/03/2004|Laurence Boswell|Royal Shakespeare Company|Festival de Otoño de Madrid|The Swan Theatre (Stratford-upon-Avon)||52.1902201|-1.7067328|a9b4a8e0-0ec2-431c-9185-901807dc4985|Internacional
666|Atribuido a Tirso de Molina|El burlador de Sevilla|2003|Ricardo Camacho|Teatro Libre de Bogotá|Festival Internacional de Teatro Clásico de Almagro, 15-16 de junio de 2003|*||40.4422656|-3.7329769|baeeb835-809a-4b73-8236-699bee099bd4|Internacional
667|Tirso de Molina|La celosa de sí misma|11/03/2022|Santiago Doria|Compañía Argentina de Teatro Clásico|Festival Internacional de Teatro Clásico de Almagro, 22-24 de julio de 2022|Centro Cultural de la Cooperación (Buenos Aires)||-34.6039837|-58.3911683|de93ead9-8706-4dc8-9d32-5f561646a32d|Internacional
668|Tirso de Molina|Basado en El burlador de Sevilla y los canovaci del arte|2002|Maurizio Scaparro|Teatro di Roma, Theatre des italiens|Festival Internacional de Teatro Clásico de Almagro, 10-11 de julio de 2002|*||40.4422656|-3.7329769|235029a8-f8fd-45e2-b364-2abd1d8342c3|Internacional
669|Atribuido a Tirso de Molina|Teatro de Papel: Convidado de piedra (a partir de El burlador de Sevilla de Tirso de Molina)|2008|Marcelo Lafontana|Teatro de Formas Animadas de Vila do Conde, Teatro Nacional Sao Joao|Festival Internacional de Teatro Clásico de Almagro, 28-29 de julio de 2008|||||b66116c5-deef-42d0-8e60-3e2d418f9a8d|Internacional
670|Tirso de Molina|Marta la piadosa|24/07/2019|Varoon P. Anand, Alka Jaspal|El Clavileño|Festival Internacional de Teatro Clásico de Almagro, 24 de julio de 2019|Corral de Comedias de Almagro||38.8884435|-3.7144868|e1fcea03-d8ec-4058-8af1-71988ffaef2a|Internacional
671|Atribuido a Tirso de Molina|El burlador de Sevilla|05/07/2024|Kei Jinguji|Ksec Act|Festival Internacional de Teatro Clásico de Almagro, 5-6 de julio de 2024|Teatro Municipal de Almagro||38.8903496|-3.7143277|f3049c97-e8c5-433d-b901-cfff532d40c8|Internacional
672|Lope de Vega|Fuenteovejuna|27/06/2008|Laurence Boswell|Stratford Shakespeare Festival||Tom Patterson Theatre (Stratford)||43.3735432|-80.9802711|bdc63477-2e4c-4b0b-b6fc-4b2d59853fd9|Internacional
673|Lope de Vega|Fuenteovejuna|11/05/2000|Michael Sexton|National Asian American Theatre Company||INTAR Theatre (Nueva York)||40.766016|-73.993861|3382cb1f-a435-4bc1-808a-0fd5de41118c|Internacional
674|Lope de Vega|La moza de cántaro|2003||KiMo Theatre de Albuquerque||||||876a64d9-03ec-4b0d-818b-c8b719df9b97|Internacional
675|Lope de Vega|Los melindres de Belisa|2/04/2003|Alba Oms|Puerto Rican Traveling Theater||Puerto Rican Traveling Theater (Nueva York)||40.7604912|-73.9906712|23dd52c9-daea-4aa0-9dad-d2f80f6cc04d|Internacional
676|Lope de Vega|El perro del hortelano|2001|Hervé Petit|Compagnie La Traverse|Festival Internacional de Teatro Clásico de Almagro, 15-16 de julio de 2002|*||40.4422656|-3.7329769|759f095c-411c-4f4e-afa4-e724394500c1|Internacional
677|Lope de Vega|Peribáñez y el comendador de Ocaña|2/12/2006|Omar Porras|Teatro Malandro, Comédie Française||Salle Richelieu (París)||48.8635743|2.3333627|05f1d5b4-57e3-490e-80e6-c93959dca0d1|Internacional
678|Lope de Vega|El perro del hortelano|1/04/2004|Laurence Boswell|Royal Shakespeare Company||Swan Theatre (Stratford-upon-Avon)||52.1902201|-1.7067328|03f51e28-1ff3-4675-83a3-4afc5e46e2ec|Internacional
679|Lope de Vega|El caballero de Olmedo|19/04/2004|Jonathan Murby|Watermill Theatre||Watermill Theatre (Newbury)||51.421287|-1.3550869|6513aef4-a56b-41ee-bd3d-386783349907|Internacional
680|Lope de Vega|El perro del hortelano|1/04/2006|Daniel Suárez Marzal|Complejo Teatral de Buenos Aires||Teatro de la Ribera (Buenos Aires)||-34.6389419|-58.3632787|7076994e-c82b-4809-b439-11a4a8a38746|Internacional
681|Lope de Vega|El castigo sin venganza|8/07/2011|Francisco Civit|La Sudestada|Festival Internacional de Teatro Clásico de Almagro, 8-10 de julio de 2011|Corral de Comedias de Almagro||38.8884435|-3.7144868|38036522-df7b-4d95-9ef1-725c0f27276a|Internacional
682|Lope de Vega|La discreta enamorada|27/07/2018|Santiago Doria|La discreta enamorada|Festival Internacional de Teatro Clásico de Almagro, 27-29 de julio de 2018|Corral de Comedias de Almagro||38.8884435|-3.7144868|1f3b7e77-7528-4955-950d-07130d58c0f2|Internacional
683|Lope de Vega|La discreta enamorada|2018|Santiago Doria|Compañía Argentina de Teatro Clásico|Festival de Teatro Clásico de Olmedo, 15 de julio de 2019|Centro Cultural de la Cooperación (Buenos Aires)||-34.6039837|-58.3911683|06dd39b8-500a-40dd-9926-3a107633474e|Internacional
684|Lope de Vega|Gatomaquia|9/07/2009|Héctor Manuel Vidal|La Cuarta|Festival Internacional de Teatro Clásico de Almagro, 9-11 de julio de 2009|Patio de Fúcares de Almagro||38.8899232|-3.7125609|f33074b5-5061-4782-9b42-404399024f34|Internacional
685|Lope de Vega|El perro del hortelano||Hugo Giachino|Stayin' alive|Festival Internacional de Teatro Clásico de Almagro, 15-16 de julio de 2022|||||80c3f7e9-8c9d-4162-8815-e2322f1b15c8|Internacional
686|Lope de Vega|El perro del hortelano|2025|Chepe Irisity|Institucional Teatral El Galpón|Festival Internacional de Teatro Clásico de Almagro, 18-19 de julio de 2025|Sala Atahualpa (Montevideo)||-34.9040261|-56.1836565|832d52ac-89b9-4ff7-86f8-4f22ecb6fc1a|Internacional
687|Lope de Vega|Fuenteovejuna|24/07/2009|Liuba Cid|Producción de Arte Promociones Artísticas y Co-producción del Ministerio de Cultura, Mefisto Teatro, Consejo Nacional de las Artes Escéénicas de Cuba|Festival Internacional de Teatro Cláásico de Almagro, 24-25 de julio de 2009; Festival de Teatro Clásico de Olmedo, 25 de julio de 2010|Antigua Universidad Renacentista de Almagro||38.8915978|-3.717401|a4dccfff-f5ec-461e-91c5-e8fbe0d477a4|Internacional
688|Lope de Vega|La noche de San Juan||Ricardo Zárraga|Instituto Nacional de Bellas Artes y Literatura, Universidad Nacional Autónoma de México|Festival Internacional de Teatro Clásico de Almagro, 18 de julio de 2012|||||39fdc1c9-7838-49f4-876c-9a14ba9049ec|Internacional
689|Lope de Vega|El castigo sin venganza|20/07/2007|Antonio Rojas|Seres Comunes|Festival Internacional de Teatro Clásico de Almagro, 20 de julio de 2007|Corral de Comedias de Almagro||38.8884435|-3.7144868|3658c096-0d06-4d6d-940d-92a6cd019409|Internacional
690|Lope de Vega|La vengadora de las mujeres||Carla Soto|De la nada... Teatro|Festival Internacional de Teatro Clásico de Almagro, 22 de julio de 2013|||||97c5ae1c-4772-4e22-86e6-7d60693d4547|Internacional
691|Lope de Vega|El caballero de Olmedo||Abril Mayett|Shake & Falstaff|Festival Internacional de Teatro Clásico de Almagro, 24 de julio de 2013|||||5cc1198a-aa99-4958-8f66-9a8a62377f18|Internacional
692|Lope de Vega|El príncipe inocente||Fernando Memije, Fernando Villa, Allan Flores|EFE TRES|Festival Internacional de Teatro Clásico de Almagro, 22 de julio de 2015|||||ea5448ef-7611-4b4b-b8b3-47f9e2c08f22|Internacional
693|Lope de Vega|El perro del hortelano|11/07/2019|Angélica Rogel|Compañía Nacional de Teatro de México|Festival Internacional de Teatro Clásico de Almagro, 11-14 de julio de 2019; Festival de Teatro Clásico de Olmedo, 17 de julio de 2019|Antigua Universidad Renacentista de Almagro||38.8915978|-3.717401|d3ed1b38-b46b-4fc8-99bc-276c3b058f6d|Internacional
694|Lope de Vega|Los locos de Valencia||Antonio Algarra|Compañía Profesional de la Escuela Nacional de Arte Teatral|Festival Internacional de Teatro Clásico de Almagro|||||e52a1f3c-7f5e-47d0-8f99-3639b68dfb0d|Internacional
695|Lope de Vega|La dama boba (versión animal) (infantil)|2014|Ramón Gutiérrez Rojas|Teatro La Calderona|Festival Internacional de Teatro Clásico de Almagro, 11 de julio de 2015|Teatro UC (Ñuñoa)||-33.4549355|-70.5967916|6b867ca6-4763-40c3-b4e1-f84c13cc9572|Internacional
696|Lope de Vega, Andrés de Claramonte|Auto sacramental La Araucana||Tania Faúndez Carreño|Teatro del Nuevo Mundo|Festival Internacional de Teatro Clásico de Almagro, 26 de julio de 2017|||||62e00bb5-c322-43f8-a009-180956e723b8|Internacional
697|Lope de Vega|Fuenteovejuna|17/07/2009|Kei Jinguji|Ksec Act|Festival Internacional de Teatro Cláásico de Almagro, 17-18 de julio de 2009; Festival de Teatro Clásico de Olmedo, 21 de julio de 2009|Teatro Municipal de Almagro||38.8903496|-3.7143277|e321d3d2-1ae3-4494-ba7f-1af5843bda87|Internacional
698|Lope de Vega|El caballero de Olmedo|21/07/2014|Kei Jinguji|Ksec Act|Festival de Teatro Clásico de Olmedo, 21 de julio de 2014|Corrala del Palacio del Caballero de Olmedo||41.2865974|-4.6885334|d485b5bd-f8db-4b24-b5a2-b0408302c52c|Internacional
699|Juan Ruiz de Alarcón|La prueba de las promesas|22/03/2012|Carlos Corona|Compañía Nacional de Teatro de México|Festival Internacional de Teatro Clásico de Almagro, 21-22 de julio de 2012|Teatro Julio Castillo del Centro Cultural del Bosque (Ciudad de México)||19.4235834|-99.1983094|faeca0d9-54a7-4eaf-aa9a-0ace96e3a817|Internacional
700|Juan Ruiz de Alarcón|El desdichado en fingir|2019|José Uriel García Solís|Colectivo Teatral de Guerrero|Festival Internacional de Teatro Clásico de Almagro, 5-6 de julio de 2019|Museo José Suárez (Chilpancingo)||27.3298412|-73.4641587|c0635b46-6d85-41b3-b7c6-3ec843a4963c|Internacional
701|Juan Ruiz de Alarcón|La verdad sospechosa||Álvaro Cerviño|Carro de Comedias 2017 Teatro Universidad Nacional Autónoma de México (UNAM)|Festival Internacional de Teatro Clásico de Almagro, 23 de julio de 2019|||||ccf3b346-e4d3-406a-ac42-44f343ff9024|Internacional
702|Juan Ruiz de Alarcón|La monja Alférez|17/10/2024|Daniel Alonso de Santos|Teatro Círculo|Festival de Teatro Clásico de Olmedo, 22 de julio de 2024|Chain Theatre (Nueva York)||40.753695|-73.9959159|fe1465c4-642c-4b1f-937b-8bbacd04bc58|Internacional
703|Francisco de Rojas Zorrilla|Donde hay agravios, no hay celos|27/07/2011|Liuba Cid|Mefisto Teatro|Festival Internacional de Teatro Clásico de Almagro, 22 de julio de 2012; Festival de Teatro Clásico de Olmedo, 22 de julio de 2011; Festival de Teatro Clásico de Cáceres 27 de julio de 2011|Festival de Teatro Clásico de Cáceres||39.5968647|-6.7948225|7ee63a51-5ce7-4861-a9fc-36483cff59ca|Internacional
704|Francisco de Rojas Zorrilla|Los bandos de Verona|27/06/2024|Daniel Alonso de Santos|Secuencia 3, Teatro Mayor Julio Mario Santo Domingo|Festival Internacional de Teatro Clásico de Almagro, 19-20 de julio de 2024; Festival de Teatro Clásico de Olmedo, 26 de julio de 2024|Teatro Salón Cervantes (Madrid)||40.4834612|-3.3686855|04d2ac92-7d03-4efd-9a43-8be6948d7357|Internacional
705|Agustín Moreto|El lindo don Diego|2017|Santiago Doria|Compañía Argentina de Teatro Clásico|Festival Internacional de Teatro Clásico de Almagro, 19-21 de julio de 2019; Festival de Teatro Clásico de Olmedo, 26 de julio de 2022|Centro Cultural de la Cooperación (Buenos Aires)||-34.6039837|-58.3911683|95267354-6ced-4e4e-b9d3-9438aa288395|Internacional
706|Sor Juana Inés de la Cruz|Los empeños de una casa||José Solé|Coordinación Nacional de Teatro de México|Festival Internacional de Teatro Clásico de Almagro, 1-2 de julio de 2008|||||0889ed58-2c82-491b-80c6-58364e52c0de|Internacional
707|Sor Juana Inés de la Cruz|El Divino Narciso. Juego Áureo||Raquel Araujo Madera|Teatro de la Rendija|Festival Internacional de Teatro Clásico de Almagro, 14-15 de julio de 2017|||||ca1096d2-6e9c-47a2-aabf-2881658d4838|Internacional
708|Sor Juana Inés de la Cruz|Los empeños de una casa||Álvaro Cerviño|Carro de Comedias 2017 Teatro Universidad Nacional Autónoma de México (UNAM)|Festival Internacional de Teatro Clásico de Almagro, 24 de julio de 2019|||||80553467-c11a-46ca-8674-2af494fa4ea5|Internacional
709|Sor Juana Inés de la Cruz, Juan de Guevara|Amor es más laberinto||Raquel Araujo Madera|Teatro de La Rendija|Festival Internacional de Teatro Clásico de Almagro, 13 de julio de 2019|||||7a5edc08-b56b-418d-ae57-595ca50ba053|Internacional
710|Sor Juana Inés de la Cruz|Los empeños de una casa||Aurora Cano|Compañia Nacional de Teatro de México|Festival de Teatro Clásico de Olmedo, 18 de julio de 2025|||||948998a3-06d1-4d8f-8e18-f0481aefddfb|Internacional
711|Sor Juana Inés de la Cruz|Los empeños de una casa||Macarena Baeza|Teatro La Calderona|Festival Internacional de Teatro Clásico de Almagro, 21 de julio|||||e79f4a62-53c6-42e1-8ce1-55a090d7c68c|Internacional
712|María de Zayas|La traición en la amistad||Mario Costa|Teatro La Calderona|Festival Internacional del Teatro Clásico de Almagro, 19-20 de julio de 2013|||||b5c2fc39-1800-4fce-bade-e9dc6396e61c|Internacional
713|Luis de Góngora|Polifemo y Galatea (infantil)||Lorena L'amouroux|Colectivo Elixir Teatro|Festival Internacional de Teatro Clásico de Almagro, 12 de julio de 2013|||||595f5a50-7a80-4fcd-9e66-017232dd4915|Internacional
